sample,label,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,circadian phase by fit,phase to DW,circadian phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,circadian phase method specific,phase to DW,circadian phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,circadian phase by averaged peaks,phase to DW,circadian phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,circadian phase by first peak,phase to DW,circadian phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR
13. [N],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.04,0,4.08,4.073211314,4.24,4.232945092,0,75021,0,4.08,4.073211314,4.24,4.232945092,0,75021,0,3.52,3.514143095,3.68,3.673876872,0.056569,81588,19762,3.54,3.534109817,3.7,3.693843594,0,74601,0,0.510496,0.510496
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. [O],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.18,0,19.01,17.42704354,1.55,1.420932009,0,130559,0,19.01,17.42704354,1.55,1.420932009,0,130559,0,16.99,15.57524828,25.71,23.56913675,3.366,119643,44394,18.18,16.66615737,0.72,0.660045837,0,103948,0,0.586163,0.586163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. [P],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.1,0,8.77,9.111688312,5.17,5.371428571,0,161023,0,8.77,9.111688312,5.17,5.371428571,0,161023,0,7.93,8.238961039,4.33,4.498701299,0.80829,156978,72170,7.7,8,4.1,4.25974026,0,131726,0,0.543814,0.543814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16. [Q],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.5,0,6.72,6.862978723,4.72,4.820425532,0,105037,0,6.72,6.862978723,4.72,4.820425532,0,105037,0,6.25,6.382978723,4.25,4.340425532,0.141421,101942,19670,6.2,6.331914894,4.2,4.289361702,0,94988,0,0.445436,0.445436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17. [R],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,21.08,0,19.79,22.5313093,8.11,9.233396584,0,31959,0,19.79,22.5313093,8.11,9.233396584,0,31959,0,0.85,0.967741935,10.25,11.66982922,10.1,77592,105374,6.6,7.514231499,16,18.21631879,0,137530,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. [S],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,29.98,0,5.05,4.04269513,28.97,23.19146097,0,20941,0,5.05,4.04269513,28.97,23.19146097,0,20941,0,1.33,1.064709807,25.25,20.21347565,17.34,198070,499492,10.56,8.453635757,4.5,3.602401601,0,272096,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
