sample,label,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,circadian phase by fit,phase to DW,circadian phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,circadian phase method specific,phase to DW,circadian phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,circadian phase by averaged peaks,phase to DW,circadian phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,circadian phase by first peak,phase to DW,circadian phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR
56. [BE],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.64,0,0.21,0.204545455,2.77,2.698051948,0,27785,0,0.21,0.204545455,2.77,2.698051948,0,27785,0,23.64,23.02597403,1.56,1.519480519,0.848528,32055,927,23.94,23.31818182,1.86,1.811688312,0,32028,0,0.577107,0.577107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57. [BF],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.56,0,2.21,2.159609121,4.45,4.348534202,0,20725,0,2.21,2.159609121,4.45,4.348534202,0,20725,0,1.98,1.93485342,4.22,4.123778502,1.923,16876,8695,2.66,2.599348534,4.9,4.788273616,0,13802,0,0.529917,0.529917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58. [BG],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.04,0,3.74,3.733777038,3.9,3.893510815,0,33131,0,3.74,3.733777038,3.9,3.893510815,0,33131,0,2.65,2.645590682,2.81,2.805324459,4.214,31755,10220,4.14,4.133111481,4.3,4.292845258,0,28141,0,0.447564,0.447564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59. [BH],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.28,0,7.56,7.793814433,4.68,4.824742268,0,111388,0,7.56,7.793814433,4.68,4.824742268,0,111388,0,6.7,6.907216495,3.82,3.93814433,0.538145,110634,26216,6.78,6.989690722,3.9,4.020618557,0,99671,0,0.405462,0.405462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60. [BI],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.56,0,24.56,24,2.24,2.188925081,0,179947,0,24.56,24,2.24,2.188925081,0,179947,0,23.66,23.12052117,1.34,1.309446254,0.282843,180321,10198,23.56,23.0228013,1.24,1.211726384,0,176716,0,0.61882,0.61882
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61. [BJ],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.02,0,8.3,8.653344917,4.38,4.566463944,0,60260,0,8.3,8.653344917,4.38,4.566463944,0,60260,0,6.99,7.287576021,3.07,3.200695048,3.129,46616,20370,7.7,8.027801911,3.78,3.940920938,0,46008,0,0.474313,0.474313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62. [BK],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.98,0,2.31,2.311926606,2.23,2.231859883,0,193826,0,2.31,2.311926606,2.23,2.231859883,0,193826,0,1.36,1.361134279,1.28,1.281067556,0.113137,186728,24709,1.9,1.901584654,1.82,1.821517932,0,179374,0,0.423927,0.423927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63. [BL],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,X,17.8,0,2.03,2.737078652,12.83,17.2988764,0,1128,0,2.03,2.737078652,12.83,17.2988764,0,1128,0,10.8,14.56179775,3.8,5.123595506,4.386,1720,2373,10.8,14.56179775,3.8,5.123595506,0,45.45,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64. [BM],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.04,0,16.58,16.55241265,16.74,16.71214642,0,42458,0,16.58,16.55241265,16.74,16.71214642,0,42458,0,14.47,14.44592346,14.63,14.60565724,0.19799,35265,3838,14.54,14.51580699,14.7,14.67554077,0,33908,0,0.510279,0.510279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65. [BN],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.52,0,18.56,18.93877551,16.64,16.97959184,0,35612,0,18.56,18.93877551,16.64,16.97959184,0,35612,0,16.56,16.89795918,14.64,14.93877551,0.735391,33007,149.3,16.82,17.16326531,14.9,15.20408163,0,32954,0,0.42251,0.42251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66. [BO],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.82,0,17.28,17.41057935,16.56,16.68513854,0,58552,0,17.28,17.41057935,16.56,16.68513854,0,58552,0,15.01,15.12342569,14.29,14.39798489,0.59397,61730,4232,15.22,15.33501259,14.5,14.60957179,0,60234,0,0.364472,0.364472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67. [BP],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.66,0,0.51,0.54015887,17.81,18.86319506,0,17351,0,0.51,0.54015887,17.81,18.86319506,0,17351,0,22.3,23.61871139,16.94,17.94174757,0.697424,16207,4716,22.46,23.78817299,17.1,18.11120918,0,14179,0,0.522774,0.522774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68. [BQ],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.74,0,21.44,22.62796834,16.4,17.30870712,0,46161,0,21.44,22.62796834,16.4,17.30870712,0,46161,0,20.83,21.98416887,15.79,16.66490765,1.221,47900,13373,20.24,21.36147757,15.2,16.04221636,0,45568,0,0.383618,0.383618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69. [BR],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.7,0,18.22,18.45063291,17.02,17.23544304,0,54557,0,18.22,18.45063291,17.02,17.23544304,0,54557,0,17.3,17.51898734,16.1,16.30379747,3.394,48952,6102,18.5,18.73417722,17.3,17.51898734,0,51109,0,0.418451,0.418451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70. [BS],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.76,0,21.91,23.10369069,16.95,17.87346221,0,19223,0,21.91,23.10369069,16.95,17.87346221,0,19223,0,21.07,22.21792619,16.11,16.98769772,0.887543,21536,5015,20.66,21.78558875,15.7,16.55536028,0,20056,0,0.314361,0.314361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71. [BT],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.2,0,18.78,19.42758621,15.58,16.11724138,0,76477,0,18.78,19.42758621,15.58,16.11724138,0,76477,0,17.53,18.13448276,14.33,14.82413793,0.305505,68765,26767,17.7,18.31034483,14.5,15,0,56953,0,0.520677,0.520677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72. [BU],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.28,0,17.55,18.09278351,14.67,15.12371134,0,89725,0,17.55,18.09278351,14.67,15.12371134,0,89725,0,15.27,15.74226804,12.39,12.77319588,0.266333,81299,29658,15.18,15.64948454,12.3,12.68041237,0,68099,0,0.507989,0.507989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73. [BV],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.74,0,21.97,23.18733509,16.93,17.86807388,0,43094,0,21.97,23.18733509,16.93,17.86807388,0,43094,0,19.93,21.03430079,14.89,15.71503958,1.967,38775,19345,21.04,22.20580475,16,16.88654354,0,32998,0,0.493568,0.493568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74. [BW],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.34,0,18.79,19.32133676,16.15,16.6066838,0,42195,0,18.79,19.32133676,16.15,16.6066838,0,42195,0,17.17,17.65552699,14.53,14.94087404,0.582866,42676,9627,17.44,17.93316195,14.8,15.218509,0,39095,0,0.36551,0.36551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75. [BX],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.54,0,18.48,18.8411215,16.64,16.96516568,0,95910,0,18.48,18.8411215,16.64,16.96516568,0,95910,0,17.12,17.45454545,15.28,15.57858963,0.79196,77491,73625,16.84,17.16907392,15,15.2931181,0,51460,0,0.605373,0.605373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76. [BY],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.86,0,21.29,22.35170604,16.73,17.56430446,0,43280,0,21.29,22.35170604,16.73,17.56430446,0,43280,0,19.93,20.92388451,15.37,16.13648294,1.498,39819,20873,20.76,21.79527559,16.2,17.00787402,0,35207,0,0.526506,0.526506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77. [BZ],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.26,0,19.57,20.19260533,16.61,17.13843508,0,50387,0,19.57,20.19260533,16.61,17.13843508,0,50387,0,19.03,19.63542562,16.07,16.58125537,0.647868,49270,25392,18.66,19.25365434,15.7,16.19948409,0,47671,0,0.264569,0.264569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78. [CA],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.6,0,22.08,23.44778761,16.48,17.50088496,0,76499,0,22.08,23.44778761,16.48,17.50088496,0,76499,0,19.7,20.92035398,14.1,14.97345133,0.72111,80052,16833,19.6,20.81415929,14,14.86725664,0,88016,0,0.248784,0.248784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79. [CB],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.9,0,20.36,21.33799127,15.96,16.72663755,0,56720,0,20.36,21.33799127,15.96,16.72663755,0,56720,0,18.87,19.77641921,14.47,15.1650655,0.503322,62265,5472,18.9,19.80786026,14.5,15.19650655,0,61655,0,0.171909,0.171909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80. [CC],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.86,0,16.87,16.96898575,16.31,16.40569992,0,112851,0,16.87,16.96898575,16.31,16.40569992,0,112851,0,15.18,15.26906957,14.62,14.70578374,0.509117,136212,22934,15.36,15.45012573,14.8,14.8868399,0,144320,0,0.231579,0.231579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81. [CD],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.36,0,0.48,0.515205725,16.28,17.47406082,0,34690,0,0.48,0.515205725,16.28,17.47406082,0,34690,0,22.27,23.90339893,15.71,16.86225403,0.532666,36602,6169,21.96,23.5706619,15.4,16.52951699,0,34118,0,0.478601,0.478601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82. [CE],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.22,0,19.17,19.81395349,16.05,16.58914729,0,85429,0,19.17,19.81395349,16.05,16.58914729,0,85429,0,17.33,17.9121447,14.21,14.6873385,0.463609,87180,18501,17.12,17.69509044,14,14.47028424,0,81480,0,0.336793,0.336793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83. [CF],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.68,0,17.16,17.39189189,15.88,16.09459459,0,22192,0,17.16,17.39189189,15.88,16.09459459,0,22192,0,15.39,15.59797297,14.11,14.30067568,0.537401,21332,12678,15.58,15.79054054,14.3,14.49324324,0,16850,0,0.662904,0.662904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84. [CG],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.76,0,13.55,13.13408724,16.59,16.08077544,0,76366,0,13.55,13.13408724,16.59,16.08077544,0,76366,0,12.13,11.75767367,15.17,14.70436187,0.763675,80261,11575,11.86,11.49596123,14.9,14.44264943,0,84354,0,0.222863,0.222863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85. [CH],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.82,0,21.34,22.44347064,16.62,17.47940403,0,26472,0,21.34,22.44347064,16.62,17.47940403,0,26472,0,19.63,20.6450482,14.91,15.6809816,1.236,22735,8898,19.52,20.52936021,14.8,15.5652936,0,20050,0,0.581472,0.581472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86. [CI],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.46,0,0.42,0.448797863,16.72,17.86642921,0,22656,0,0.42,0.448797863,16.72,17.86642921,0,22656,0,22.37,23.90382903,16.21,17.32146037,0.460145,22693,8391,22.36,23.89314337,16.2,17.31077471,0,19463,0,0.543191,0.543191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87. [CJ],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.4,0,0.71,0.760714286,16.71,17.90357143,0,44384,0,0.71,0.760714286,16.71,17.90357143,0,44384,0,0.47,0.503571429,16.47,17.64642857,1.007,39020,41029,0,0,16,17.14285714,0,31141,0,0.437961,0.437961
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88. [CK],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.16,0,19.66,20.37305699,16.3,16.89119171,0,60682,0,19.66,20.37305699,16.3,16.89119171,0,60682,0,19.17,19.86528497,15.81,16.38341969,1.022,67097,6425,18.76,19.44041451,15.4,15.95854922,0,68855,0,0.284848,0.284848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89. [CL],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.3,0,19.46,20.04463519,16.66,17.16051502,0,61710,0,19.46,20.04463519,16.66,17.16051502,0,61710,0,17.37,17.89184549,14.57,15.00772532,0.503322,61101,18644,17.4,17.92274678,14.6,15.03862661,0,53840,0,0.432916,0.432916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90. [CM],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.34,0,19.38,19.92802057,16.74,17.21336761,0,71409,0,19.38,19.92802057,16.74,17.21336761,0,71409,0,17.9,18.40616967,15.26,15.69151671,0.549909,75751,8477,18.14,18.6529563,15.5,15.93830334,0,79874,0,0.220265,0.220265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91. [CN],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.64,0,16.95,17.20812183,15.51,15.74619289,0,75709,0,16.95,17.20812183,15.51,15.74619289,0,75709,0,15.62,15.85786802,14.18,14.39593909,0.339411,69810,6799,15.74,15.97969543,14.3,14.5177665,0,67407,0,0.359355,0.359355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92. [CO],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.84,0,21.56,22.65499124,16.92,17.7793345,0,46250,0,21.56,22.65499124,16.92,17.7793345,0,46250,0,20.6,21.64623468,15.96,16.77057793,0.174356,48291,1283,20.64,21.6882662,16,16.81260946,0,48857,0,0.297301,0.297301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93. [CP],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.98,0,16.89,16.90408674,16.81,16.82402002,0,59089,0,16.89,16.90408674,16.81,16.82402002,0,59089,0,15.34,15.35279399,15.26,15.27272727,1.245,64814,1968,15.78,15.79316097,15.7,15.71309425,0,65509,0,0.377132,0.377132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94. [CQ],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.52,0,18.85,19.23469388,16.93,17.2755102,0,28983,0,18.85,19.23469388,16.93,17.2755102,0,28983,0,17.66,18.02040816,15.74,16.06122449,0.735391,24167,3027,17.92,18.28571429,16,16.32653061,0,23097,0,0.563304,0.563304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95. [CR],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.1,0,20.57,21.37142857,16.97,17.63116883,0,69444,0,20.57,21.37142857,16.97,17.63116883,0,69444,0,18.67,19.3974026,15.07,15.65714286,0.757188,74379,656,19.1,19.84415584,15.5,16.1038961,0,74500,0,0.268796,0.268796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96. [CS],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.68,0,22.03,23.31216931,16.75,17.72486772,0,43214,0,22.03,23.31216931,16.75,17.72486772,0,43214,0,21.07,22.2962963,15.79,16.70899471,0.463609,49176,11839,21.28,22.51851852,16,16.93121693,0,53853,0,0.316418,0.316418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97. [CT],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.18,0,16.84,16.7146402,17.56,17.4292804,0,50796,0,16.84,16.7146402,17.56,17.4292804,0,50796,0,15.14,15.02729529,15.86,15.74193548,1.245,59397,8281,15.58,15.46401985,16.3,16.17866005,0,62324,0,0.395444,0.395444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98. [CU],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.26,0,16.13,15.95713108,17.17,16.98598516,0,43899,0,16.13,15.95713108,17.17,16.98598516,0,43899,0,14.63,14.47320692,15.67,15.50206101,0.084853,39389,4723,14.66,14.50288541,15.7,15.53173949,0,37719,0,0.420952,0.420952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99. [CV],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.26,0,19.75,20.3783319,16.79,17.32416165,0,54395,0,19.75,20.3783319,16.79,17.32416165,0,54395,0,18.37,18.9544282,15.41,15.90025795,0.887543,55877,17333,18.86,19.4600172,15.9,16.40584695,0,52558,0,0.33012,0.33012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100. [CW],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.12,0,2.87,3.113924051,17.47,18.95479204,0,10631,0,2.87,3.113924051,17.47,18.95479204,0,10631,0,2.38,2.582278481,16.98,18.42314647,0.222711,11068,898,2.4,2.6039783,17,18.44484629,0,11545,0,0.398382,0.398382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101. [CX],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.16,0,2.95,3.194945848,17.75,19.22382671,0,14256,0,2.95,3.194945848,17.75,19.22382671,0,14256,0,1.81,1.960288809,16.61,17.98916968,0.362951,14762,581,2,2.166064982,16.8,18.19494585,0,15054,0,0.478698,0.478698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102. [CY],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24,0,17.17,17.17,17.17,17.17,0,32379,0,17.17,17.17,17.17,17.17,0,32379,0,16.05,16.05,16.05,16.05,1.838,34017,1848,16.7,16.7,16.7,16.7,0,33364,0,0.626766,0.626766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103. [CZ],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.84,0,18.04,18.16107383,17.4,17.51677852,0,31895,0,18.04,18.16107383,17.4,17.51677852,0,31895,0,16.77,16.88255034,16.13,16.23825503,1.895,38411,2468,17.44,17.55704698,16.8,16.91275168,0,39283,0,0.473162,0.473162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104. [DA],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.06,0,2.37,2.578422484,16.67,18.13599275,0,14798,0,2.37,2.578422484,16.67,18.13599275,0,14798,0,1.81,1.969174977,16.11,17.52674524,0.40464,14539,6676,1.7,1.84950136,16,17.40707162,0,12260,0,0.66476,0.66476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105. [DB],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.24,0,17.68,17.5049505,18.64,18.45544554,0,31650,0,17.68,17.5049505,18.64,18.45544554,0,31650,0,15.92,15.76237624,16.88,16.71287129,0.905097,30304,3667,16.24,16.07920792,17.2,17.02970297,0,29008,0,0.395753,0.395753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106. [DC],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,22.7,0,21.53,22.76299559,16.33,17.26519824,0,18641,0,21.53,22.76299559,16.33,17.26519824,0,18641,0,20.27,21.430837,15.07,15.93303965,3.355,17410,11126,19.2,20.29955947,14,14.80176211,0,11884,0,0.820654,0.820654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107. [DD],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.3,0,15.75,15.55555556,16.95,16.74074074,0,52515,0,15.75,15.55555556,16.95,16.74074074,0,52515,0,13.9,13.72839506,15.1,14.91358025,1.414,64316,14128,14.4,14.22222222,15.6,15.40740741,0,69311,0,0.291703,0.291703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108. [DE],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.72,0,17.51,17.71669477,16.39,16.58347386,0,38478,0,17.51,17.71669477,16.39,16.58347386,0,38478,0,16.01,16.1989882,14.89,15.06576728,0.028284,35713,5454,16.02,16.20910624,14.9,15.07588533,0,33785,0,0.51584,0.51584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109. [DF],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.46,0,19.32,19.76470588,17.16,17.55498721,0,26527,0,19.32,19.76470588,17.16,17.55498721,0,26527,0,18.67,19.09974425,16.51,16.89002558,1.936,23163,9267,17.86,18.27109974,15.7,16.06138107,0,19337,0,0.558371,0.558371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110. [DG],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.8,0,17.89,18.04033613,17.09,17.23361345,0,25702,0,17.89,18.04033613,17.09,17.23361345,0,25702,0,16.35,16.48739496,15.55,15.68067227,0.707107,25751,400.5,16.1,16.23529412,15.3,15.42857143,0,25892,0,0.394486,0.394486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111. [DH],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.58,0,15.44,15.07567128,17.76,17.34092758,0,42115,0,15.44,15.07567128,17.76,17.34092758,0,42115,0,13.09,12.78112286,15.41,15.04637917,0.254558,50695,73.86,13.18,12.86899919,15.5,15.13425549,0,50669,0,0.239956,0.239956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112. [DI],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,25.22,0,13.07,12.43774782,17.95,17.08168121,0,72031,0,13.07,12.43774782,17.95,17.08168121,0,72031,0,11.66,11.09595559,16.54,15.73988898,0.961665,66823,6269,11.32,10.77240285,16.2,15.41633624,0,64607,0,0.389459,0.389459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113. [DJ],WT:TOC1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.58,0,18.04,18.36132316,16.36,16.65139949,0,69751,0,18.04,18.36132316,16.36,16.65139949,0,69751,0,16.89,17.19083969,15.21,15.48091603,1.669,82191,16552,17.48,17.7913486,15.8,16.08142494,0,88043,0,0.210266,0.210266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
